Ano,Mês,Município,Aparelho de Pesca,Pescado,kg no Período,nº de descargas do período
2016,1,Itajaí,Arrasto duplo,Abrótea,"10.860,00",8
2016,1,Itajaí,Arrasto duplo,Batata,"20,00",1
2016,1,Itajaí,Arrasto duplo,Cabra,"3.400,00",7
2016,1,Itajaí,Arrasto duplo,Cação-bagre,"1.420,00",2
2016,1,Itajaí,Arrasto duplo,Cascudo,"2.140,00",1
2016,1,Itajaí,Arrasto duplo,Castanha,"340,00",6
2016,1,Itajaí,Arrasto duplo,Corcoroca,"20,00",1
2016,1,Itajaí,Arrasto duplo,Corvina,"140,00",5
2016,1,Itajaí,Arrasto duplo,Emplastro,"3.300,00",6
2016,1,Itajaí,Arrasto duplo,Enguia,"80,00",2
2016,1,Itajaí,Arrasto duplo,Goete,"20,00",1
2016,1,Itajaí,Arrasto duplo,Linguado-areia,"5.560,00",6
2016,1,Itajaí,Arrasto duplo,Mangangá,"1.580,00",8
2016,1,Itajaí,Arrasto duplo,Maria-luiza,"20,00",1
2016,1,Itajaí,Arrasto duplo,Maria-mole,"1.020,00",7
2016,1,Itajaí,Arrasto duplo,Merluza,"560,00",3
2016,1,Itajaí,Arrasto duplo,Mistura,"1.260,00",8
2016,1,Itajaí,Arrasto duplo,Namorado,"20,00",1
2016,1,Itajaí,Arrasto duplo,Peixe-sapo,"1.000,00",6
2016,1,Itajaí,Arrasto duplo,Tira-vira,"760,00",8
2016,1,Itajaí,Arrasto duplo,Trilha,"380,00",4
2016,2,Itajaí,Arrasto duplo,Abrótea,"4.273,00",6
2016,2,Itajaí,Arrasto duplo,Batata,"20,00",1
2016,2,Itajaí,Arrasto duplo,Betara,"628,00",5
2016,2,Itajaí,Arrasto duplo,Cabra,"3.890,00",3
2016,2,Itajaí,Arrasto duplo,Cação-bagre,"340,00",3
2016,2,Itajaí,Arrasto duplo,Camarão-barba-ruça,"144.752,00",9
2016,2,Itajaí,Arrasto duplo,Camarão-santana,"3.014,00",7
2016,2,Itajaí,Arrasto duplo,Cascudo,"2.860,00",1
2016,2,Itajaí,Arrasto duplo,Castanha,"320,00",2
2016,2,Itajaí,Arrasto duplo,Congro,"20,00",1
2016,2,Itajaí,Arrasto duplo,Corvina,"489,00",5
2016,2,Itajaí,Arrasto duplo,Emplastro,"780,00",3
2016,2,Itajaí,Arrasto duplo,Enguia,"40,00",2
2016,2,Itajaí,Arrasto duplo,Linguado,"20,00",1
2016,2,Itajaí,Arrasto duplo,Linguado-areia,"2.264,00",4
2016,2,Itajaí,Arrasto duplo,Mangangá,"460,00",2
2016,2,Itajaí,Arrasto duplo,Maria-mole,"280,00",4
2016,2,Itajaí,Arrasto duplo,Merluza,"540,00",3
2016,2,Itajaí,Arrasto duplo,Mistura,"2.999,00",8
2016,2,Itajaí,Arrasto duplo,Namorado,"60,00",1
2016,2,Itajaí,Arrasto duplo,Pargo-rosa,"40,00",1
2016,2,Itajaí,Arrasto duplo,Peixe-sapo,"360,00",2
2016,2,Itajaí,Arrasto duplo,Pescada,"1.240,00",4
2016,2,Itajaí,Arrasto duplo,Tira-vira,"940,00",5
2016,2,Itajaí,Arrasto duplo,Trilha,"203,00",3
2016,2,Itajaí,Arrasto simples,Abrótea,"500,00",2
2016,2,Itajaí,Arrasto simples,Betara,"180,00",1
2016,2,Itajaí,Arrasto simples,Cabra,"39.020,00",2
2016,2,Itajaí,Arrasto simples,Castanha,"10.260,00",2
2016,2,Itajaí,Arrasto simples,Corcoroca,"360,00",1
2016,2,Itajaí,Arrasto simples,Corvina,"15.840,00",2
2016,2,Itajaí,Arrasto simples,Emplastro,"8.840,00",2
2016,2,Itajaí,Arrasto simples,Goete,"1.000,00",1
2016,2,Itajaí,Arrasto simples,Linguado-areia,"60,00",1
2016,2,Itajaí,Arrasto simples,Maria-mole,"540,00",2
2016,2,Itajaí,Arrasto simples,Merluza,"380,00",2
2016,2,Itajaí,Arrasto simples,Mistura,"460,00",2
2016,2,Itajaí,Arrasto simples,Olho-de-boi,"320,00",1
2016,2,Itajaí,Arrasto simples,Peixe-sapo,"720,00",2
2016,2,Itajaí,Arrasto simples,Raia,"138,00",1
2016,2,Itajaí,Arrasto simples,Tira-vira,"160,00",2
2016,2,Itajaí,Arrasto simples,Trilha,"80,00",2
2016,3,Itajaí,Arrasto duplo,Abrótea,"160,00",2
2016,3,Itajaí,Arrasto duplo,Betara,"100,00",2
2016,3,Itajaí,Arrasto duplo,Cabra,"1.560,00",1
2016,3,Itajaí,Arrasto duplo,Camarão-barba-ruça,"21.204,00",2
2016,3,Itajaí,Arrasto duplo,Camarão-sete-barbas,"234,00",1
2016,3,Itajaí,Arrasto duplo,Castanha,"60,00",1
2016,3,Itajaí,Arrasto duplo,Corvina,"20,00",1
2016,3,Itajaí,Arrasto duplo,Emplastro,"1.040,00",1
2016,3,Itajaí,Arrasto duplo,Enguia,"20,00",1
2016,3,Itajaí,Arrasto duplo,Goete,"20,00",1
2016,3,Itajaí,Arrasto duplo,Linguado-areia,"520,00",1
2016,3,Itajaí,Arrasto duplo,Mangangá,"20,00",1
2016,3,Itajaí,Arrasto duplo,Maria-luiza,"40,00",1
2016,3,Itajaí,Arrasto duplo,Maria-mole,"220,00",1
2016,3,Itajaí,Arrasto duplo,Mistura,"240,00",2
2016,3,Itajaí,Arrasto duplo,Peixe-sapo,"40,00",1
2016,3,Itajaí,Arrasto duplo,Pescada,"240,00",2
2016,3,Itajaí,Arrasto duplo,Tira-vira,"80,00",1
2016,3,Itajaí,Arrasto simples,Abrótea,"480,00",3
2016,3,Itajaí,Arrasto simples,Betara,"260,00",2
2016,3,Itajaí,Arrasto simples,Cabra,"15.200,00",3
2016,3,Itajaí,Arrasto simples,Castanha,"14.200,00",2
2016,3,Itajaí,Arrasto simples,Cavalinha,"380,00",1
2016,3,Itajaí,Arrasto simples,Corcoroca,"740,00",2
2016,3,Itajaí,Arrasto simples,Corvina,"19.680,00",2
2016,3,Itajaí,Arrasto simples,Emplastro,"4.020,00",3
2016,3,Itajaí,Arrasto simples,Espada,"20,00",1
2016,3,Itajaí,Arrasto simples,Goete,"9.400,00",2
2016,3,Itajaí,Arrasto simples,Gordinho,"400,00",2
2016,3,Itajaí,Arrasto simples,Linguado-areia,"780,00",3
2016,3,Itajaí,Arrasto simples,Maria-mole,"4.980,00",2
2016,3,Itajaí,Arrasto simples,Marimbá,"20,00",1
2016,3,Itajaí,Arrasto simples,Merluza,"80,00",1
2016,3,Itajaí,Arrasto simples,Miracéu,"20,00",1
2016,3,Itajaí,Arrasto simples,Mistura,"860,00",3
2016,3,Itajaí,Arrasto simples,Olho-de-boi,"80,00",1
2016,3,Itajaí,Arrasto simples,Pampo,"60,00",2
2016,3,Itajaí,Arrasto simples,Peixe-porco,"60,00",2
2016,3,Itajaí,Arrasto simples,Peixe-sapo,"280,00",3
2016,3,Itajaí,Arrasto simples,Pescada,"240,00",2
2016,3,Itajaí,Arrasto simples,Pescada-cambucu,"100,00",1
2016,3,Itajaí,Arrasto simples,Tira-vira,"20,00",1
2016,4,Itajaí,Arrasto duplo,Abrótea,"9.940,00",7
2016,4,Itajaí,Arrasto duplo,Batata,"96,00",2
2016,4,Itajaí,Arrasto duplo,Cabra,"1.500,00",6
2016,4,Itajaí,Arrasto duplo,Cação-bagre,"260,00",5
2016,4,Itajaí,Arrasto duplo,Camarão-cristalino,"12.600,00",5
2016,4,Itajaí,Arrasto duplo,Cascudo,"20,00",1
2016,4,Itajaí,Arrasto duplo,Castanha,"1.240,00",2
2016,4,Itajaí,Arrasto duplo,Congro,"1.540,00",4
2016,4,Itajaí,Arrasto duplo,Corvina,"20,00",1
2016,4,Itajaí,Arrasto duplo,Emplastro,"1.860,00",5
2016,4,Itajaí,Arrasto duplo,Enguia,"60,00",1
2016,4,Itajaí,Arrasto duplo,Goete,"40,00",2
2016,4,Itajaí,Arrasto duplo,Linguado-areia,"2.180,00",4
2016,4,Itajaí,Arrasto duplo,Mangangá,"100,00",1
2016,4,Itajaí,Arrasto duplo,Maria-mole,"100,00",2
2016,4,Itajaí,Arrasto duplo,Merluza,"1.980,00",6
2016,4,Itajaí,Arrasto duplo,Mistura,"932,00",7
2016,4,Itajaí,Arrasto duplo,Namorado,"100,00",3
2016,4,Itajaí,Arrasto duplo,Papa-moscas,"100,00",2
2016,4,Itajaí,Arrasto duplo,Pargo-rosa,"40,00",1
2016,4,Itajaí,Arrasto duplo,Peixe-sapo,"3.280,00",5
2016,4,Itajaí,Arrasto duplo,Polvo,"167,00",3
2016,4,Itajaí,Arrasto duplo,Tira-vira,"420,00",7
2016,4,Itajaí,Arrasto duplo,Trilha,"60,00",3
2016,4,Itajaí,Arrasto simples,Abrótea,"840,00",3
2016,4,Itajaí,Arrasto simples,Bagre,"220,00",2
2016,4,Itajaí,Arrasto simples,Betara,"520,00",2
2016,4,Itajaí,Arrasto simples,Cabra,"35.020,00",3
2016,4,Itajaí,Arrasto simples,Castanha,"12.920,00",3
2016,4,Itajaí,Arrasto simples,Corcoroca,"180,00",2
2016,4,Itajaí,Arrasto simples,Corvina,"32.820,00",3
2016,4,Itajaí,Arrasto simples,Emplastro,"10.740,00",3
2016,4,Itajaí,Arrasto simples,Espada,"220,00",3
2016,4,Itajaí,Arrasto simples,Galo,"40,00",1
2016,4,Itajaí,Arrasto simples,Goete,"23.440,00",2
2016,4,Itajaí,Arrasto simples,Gordinho,"1.500,00",2
2016,4,Itajaí,Arrasto simples,Guaivira,"60,00",1
2016,4,Itajaí,Arrasto simples,Linguado-areia,"160,00",1
2016,4,Itajaí,Arrasto simples,Mangangá,"20,00",1
2016,4,Itajaí,Arrasto simples,Maria-mole,"6.680,00",3
2016,4,Itajaí,Arrasto simples,Merluza,"140,00",2
2016,4,Itajaí,Arrasto simples,Mistura,"540,00",2
2016,4,Itajaí,Arrasto simples,Olho-de-boi,"400,00",3
2016,4,Itajaí,Arrasto simples,Peixe-sapo,"280,00",2
2016,4,Itajaí,Arrasto simples,Pescada,"220,00",2
2016,4,Itajaí,Arrasto simples,Pescada-cambucu,"100,00",2
2016,4,Itajaí,Arrasto simples,Raia,"105,00",2
2016,4,Itajaí,Arrasto simples,Tira-vira,"260,00",3
2016,4,Itajaí,Arrasto simples,Trilha,"400,00",3
2016,5,Itajaí,Arrasto duplo,Abrótea,"12.549,00",7
2016,5,Itajaí,Arrasto duplo,Batata,"116,00",2
2016,5,Itajaí,Arrasto duplo,Cabra,"3.663,00",5
2016,5,Itajaí,Arrasto duplo,Cação-bagre,"60,00",1
2016,5,Itajaí,Arrasto duplo,Camarão-cristalino,"5.085,00",3
2016,5,Itajaí,Arrasto duplo,Cascudo,"1.518,00",2
2016,5,Itajaí,Arrasto duplo,Castanha,"661,00",5
2016,5,Itajaí,Arrasto duplo,Congro,"914,00",3
2016,5,Itajaí,Arrasto duplo,Corvina,"14,00",1
2016,5,Itajaí,Arrasto duplo,Emplastro,"3.633,00",3
2016,5,Itajaí,Arrasto duplo,Enguia,"102,00",3
2016,5,Itajaí,Arrasto duplo,Galo,"35,00",1
2016,5,Itajaí,Arrasto duplo,Goete,"24,00",2
2016,5,Itajaí,Arrasto duplo,Linguado-areia,"2.875,00",3
2016,5,Itajaí,Arrasto duplo,Mangangá,"140,00",2
2016,5,Itajaí,Arrasto duplo,Maria-mole,"1.571,00",7
2016,5,Itajaí,Arrasto duplo,Merluza,"2.924,00",7
2016,5,Itajaí,Arrasto duplo,Peixe-sapo,"1.129,00",3
2016,5,Itajaí,Arrasto duplo,Polvo,"190,00",3
2016,5,Itajaí,Arrasto duplo,Tira-vira,"3.975,00",7
2016,5,Itajaí,Arrasto duplo,Trilha,"245,00",3
2016,5,Itajaí,Arrasto simples,Abrótea,"506,00",3
2016,5,Itajaí,Arrasto simples,Bagre,"467,00",3
2016,5,Itajaí,Arrasto simples,Betara,"355,00",1
2016,5,Itajaí,Arrasto simples,Cabra,"37.602,00",3
2016,5,Itajaí,Arrasto simples,Cangoá,"12,00",1
