Ano,Município,Aparelho de Pesca,Pescado,kg no Período,nº de descargas do período
2009,Florianópolis,Arrasto de parelha,Corvina,"1.200,00",1
2009,Florianópolis,Arrasto de parelha,Goete,"140,00",1
2009,Florianópolis,Arrasto duplo,Abrótea,"57,00",1
2009,Florianópolis,Arrasto duplo,Cabra,"40,00",1
2009,Florianópolis,Arrasto duplo,Camarão-barba-ruça,"925,00",1
2009,Florianópolis,Arrasto duplo,Camarão-santana,"96,00",1
2009,Florianópolis,Arrasto duplo,Corcoroca,"20,00",1
2009,Florianópolis,Arrasto duplo,Corvina,"1.140,00",1
2009,Florianópolis,Arrasto duplo,Emplastro,"106,00",1
2009,Florianópolis,Arrasto duplo,Linguado,"64,00",2
2009,Florianópolis,Arrasto duplo,Mistura,"180,00",2
2009,Itajaí,Arrasto de parelha,Abrótea,"1.360,00",4
2009,Itajaí,Arrasto de parelha,Anchoita,"20,00",1
2009,Itajaí,Arrasto de parelha,Bagre,"6.680,00",5
2009,Itajaí,Arrasto de parelha,Betara,"1.620,00",6
2009,Itajaí,Arrasto de parelha,Cabra,"11.260,00",8
2009,Itajaí,Arrasto de parelha,Carapicu,"1.200,00",1
2009,Itajaí,Arrasto de parelha,Castanha,"57.860,00",7
2009,Itajaí,Arrasto de parelha,Corcoroca,"640,00",4
2009,Itajaí,Arrasto de parelha,Corvina,"124.680,00",13
2009,Itajaí,Arrasto de parelha,Emplastro,"1.740,00",3
2009,Itajaí,Arrasto de parelha,Enchova,"116,00",3
2009,Itajaí,Arrasto de parelha,Enguia,"80,00",1
2009,Itajaí,Arrasto de parelha,Espada,"6.060,00",7
2009,Itajaí,Arrasto de parelha,Galo-de-profundidade,"60,00",1
2009,Itajaí,Arrasto de parelha,Goete,"55.900,00",9
2009,Itajaí,Arrasto de parelha,Gordinho,"6.660,00",5
2009,Itajaí,Arrasto de parelha,Guaivira,"960,00",4
2009,Itajaí,Arrasto de parelha,Linguado,"3.500,00",3
2009,Itajaí,Arrasto de parelha,Lula,"36.000,00",5
2009,Itajaí,Arrasto de parelha,Mangangá,"500,00",1
2009,Itajaí,Arrasto de parelha,Maria-luiza,"1.700,00",5
2009,Itajaí,Arrasto de parelha,Maria-mole,"20.420,00",4
2009,Itajaí,Arrasto de parelha,Mistura,"54.880,00",16
2009,Itajaí,Arrasto de parelha,Olho-de-boi,"320,00",2
2009,Itajaí,Arrasto de parelha,Palombeta,"820,00",2
2009,Itajaí,Arrasto de parelha,Pampo,"40,00",2
2009,Itajaí,Arrasto de parelha,Paru,"120,00",1
2009,Itajaí,Arrasto de parelha,Peixe-porco,"360,00",3
2009,Itajaí,Arrasto de parelha,Pescada,"360,00",1
2009,Itajaí,Arrasto de parelha,Pescada-amarela,"112.231,00",10
2009,Itajaí,Arrasto de parelha,Pescada-branca,"9,00",1
2009,Itajaí,Arrasto de parelha,Pescada-cambucu,"380,00",2
2009,Itajaí,Arrasto de parelha,Pescadinha-real,"82.300,00",4
2009,Itajaí,Arrasto de parelha,Raia,"160,00",1
2009,Itajaí,Arrasto de parelha,Robalo,"12,00",1
2009,Itajaí,Arrasto de parelha,Roncador,"20,00",1
2009,Itajaí,Arrasto de parelha,Tira-vira,"120,00",2
2009,Itajaí,Arrasto duplo,Abrótea,"371.065,00",174
2009,Itajaí,Arrasto duplo,Abrótea-de-fundo,"2.590.939,00",146
2009,Itajaí,Arrasto duplo,Bagre,"1.740,00",16
